5,0.5,1,None,None
12,3.0,2,None,None
21,3.0,3,None,None
28,0.5,4,None,None
812,0.0,16,None,None
813,0.0,16,None,None
9,120.0,2,None,None
18,230.0,3,None,None
3002,0.0,16,120,None
34,3.0,5,None,None
40,0.5,6,None,None
25,230.0,4,None,None
31,120.0,5,None,None
45,1.0,7,None,None
37,120.0,6,None,None
42,75.0,7,None,None
50,60.0,8,None,None
3014,0.0,16,132,None
53,0.7,8,None,None
61,0.7,9,None,None
58,45.0,9,None,None
67,75.0,10,None,None
4378,240.0,4,119,None
4380,4.2,4,137,None
4382,0.6,4,152,None
91,0.5,13,None,None
100,0.5,14,None,None
4496,5.3,3,137,None
4498,4.5,3,149,None
4500,1.0,3,154,None
4502,40.0,3,162,None
107,3.0,15,None,None
736,0.0,16,None,None
4607,4.6,9,137,None
17,1.0,2,None,None
4609,0.4,9,152,None
4611,0.1,9,155,None
36,1.0,5,None,None
41,1.0,6,None,None
4635,75.0,2,119,None
4637,2.3,2,137,None
4639,0.6,2,152,None
66,0.5,9,None,None
737,0.0,16,None,None
15,4.5,2,None,None
23,4.5,3,None,None
30,4.5,4,None,None
49,4.7,7,None,None
57,1.5,8,None,None
65,1.5,9,None,None
96,4.5,13,None,None
738,0.0,16,None,None
739,0.0,16,None,None
70,0.22,10,None,None
77,1.2,11,None,None
84,1.2,12,None,None
740,0.0,16,None,None
7,0.3,1,None,None
16,1.5,2,None,None
48,0.5,7,None,None
790,0.0,16,None,None
56,0.5,8,None,None
791,0.0,16,None,None
64,0.5,9,None,None
93,0.3,13,None,None
102,0.2,14,None,None
109,0.3,15,None,None
741,0.0,16,None,None
742,0.0,16,None,None
6,0.6,1,None,None
13,1.0,2,None,None
22,0.7,3,None,None
29,0.7,4,None,None
46,0.3,7,None,None
54,0.3,8,None,None
62,0.3,9,None,None
792,0.0,16,None,None
793,54.0,198,None,None
794,23.0,199,None,None
92,0.8,13,None,None
795,54.0,200,None,None
796,45.0,201,None,None
797,54.0,202,None,None
101,0.4,14,None,None
799,0.0,16,None,None
14,0.25,2,None,None
35,0.25,5,None,None
748,0.0,16,None,None
108,0.6,15,None,None
94,0.08,13,None,None
103,0.05,14,None,None
731,0.0,16,None,None
2,60.0,1,None,None
10,180.0,2,None,None
32,180.0,5,None,None
38,180.0,6,None,None
59,55.0,9,None,None
730,0.0,16,None,None
4,4.5,1,None,None
11,7.0,2,None,None
