689,36,1,5,104102015004,TEST - NOT OK,8,1403/11/28,لوله,1,10:00:00,11:00:00
690,36,1,5,104102015004,TEST - OK,8,1403/11/28,لوله,2,13:00:00,14:00:00
700,36,1,6,104102015006,TEST - NOT OK,7,1403/12/02,لوله,1,11:00:00,12:00:00
704,35,1,7,104102015006,orginal,7,1403/11/20,لوله,21,07:00:00,14:00:00
705,35,1,2,0000000014,orginal,1,1403/11/20,لوله,4,14:00:00,15:00:00
707,40,2,5,104120153001,orginal,9,1403/11/25,لوله,4,17:00:00,19:00:00
709,36,1,7,104102015006,orginal,7,1403/11/25,لوله,10,07:00:00,15:00:00
715,36,1,7,104102015006,orginal,7,1403/11/29,لوله,10,07:00:00,09:00:00
396,41,2,16,201711035023,10 ثانیه آسیابی,261,1403/10/14,اتصالات,11,16:00:00,16:00:00
734,36,1,8,0000000015,TEST - NOT OK,2,1403/11/06,لوله,2,09:00:00,09:30:00
737,36,1,5,104102015004,TEST - NOT OK,8,1403/11/09,لوله,1,08:00:00,08:30:00
829,40,3,5,104102015004,,8,1403/11/20,لوله,-1,00:00:00,09:05:00
832,44,3,5,0000000024,,9,1403/11/21,لوله,2,00:00:00,09:15:00
838,40,2,3,103106325003,,4,1403/11/27,لوله,6,18:00:00,09:29:00
841,44,3,3,101106330004,,1,1403/11/28,لوله,6,04:00:00,09:39:00
843,45,1,2,101111032007,,1,1403/11/28,لوله,7,09:00:00,09:43:00
403,35,1,3,101109030006,بدون ضایعات آسیابی,267,1403/10/14,لوله,7,09:00:00,09:00:00
844,45,1,3,101106330004,,1,1403/11/28,لوله,5,11:00:00,09:43:00
847,36,1,6,114102515046,Orginal,7,1403/12/06,لوله,16,09:00:00,12:00:00
848,36,1,6,101103230001,Orginal,1,1403/12/07,لوله,8,07:00:00,12:00:00
872,36,1,8,0000000025,Orginal,3,1403/12/12,لوله,9,11:00:00,15:00:00
878,44,2,4,0000000021,Orginal,3,1403/12/13,لوله,22,15:00:00,21:00:00
879,40,3,3,101106330004,,1,1403/12/10,لوله,6,23:00:00,10:39:00
884,36,1,8,0000000003,TEST - NOT OK,2,1403/12/10,لوله,2,13:00:00,14:00:00
886,44,1,8,0000000007,Orginal,3,1403/12/11,لوله,10,09:00:00,14:30:00
888,36,1,4,0000000026,Orginal,3,1403/12/16,لوله,30,07:00:00,15:00:00
892,36,1,8,0000000027,TEST -NOT OK,2,1403/12/19,لوله,2,11:00:00,12:00:00
900,40,2,2,117511012123,,3,1403/12/11,لوله,7,21:00:00,11:37:00
905,40,2,2,101111032007,,1,1403/12/21,لوله,4,18:00:00,10:13:00
1060,40,1,3,101109030006,Orginal,1,1404/01/18,لوله,7,10:00:00,11:45:00
1074,40,3,2,101111032007,,1,1403/12/23,لوله,7,11:00:00,12:12:00
1091,42,3,16,000000000001,orginal,16,1403/12/07,اتصالات,9,22:30:00,00:25:00
1097,40,1,2,101111032007,Orginal,1,1403/12/07,لوله,4,10:00:00,11:00:00
1107,44,2,4,0000000026,Orginal,3,1403/12/07,لوله,6,20:00:00,21:30:00
1118,39,1,13,201700090050,Orginal,16,1403/12/11,اتصالات,13,22:30:00,01:25:00
1120,45,3,3,101106330004,Orginal,16,1403/12/08,لوله,3,04:00:00,05:00:00
1155,39,1,16,200711000037,Orginal,16,1403/12/18,اتصالات,15,12:00:00,09:49:00
631,40,2,2,101111032007,orginal,488,1403/11/28,لوله,9,16:00:00,16:00:00
636,44,3,2,101111032007,orginal,495,1403/11/29,لوله,5,00:00:00,00:00:00
684,36,1,8,0000000007,orginal,3,1403/11/15,لوله,20,07:00:00,07:00:00
711,36,1,6,114103215148,orginal,7,1403/11/27,لوله,9,15:00:00,17:00:00
721,36,1,7,104120153001,orginal,7,1403/12/03,لوله,10,09:00:00,12:00:00
730,36,1,7,114102515046,TEST -  NOT OK,7,1403/11/05,لوله,1,09:00:00,09:30:00
744,35,1,7,104102015006,TEST - OK,7,1403/11/19,لوله,1,11:00:00,11:30:00
830,44,1,3,103109028004,,4,1403/11/21,لوله,6,07:00:00,09:07:00
831,44,1,5,104120153001,,9,1403/11/21,لوله,3,10:00:00,09:07:00
834,45,1,2,101111032007,,1,1403/11/27,لوله,5,10:00:00,09:20:00
836,45,1,3,103106325003,,4,1403/11/27,لوله,4,12:00:00,09:24:00
839,40,2,4,116211010060,,3,1403/11/27,لوله,5,20:00:00,09:34:00
840,44,3,2,101111032007,,1,1403/11/28,لوله,5,00:00:00,09:34:00
845,45,1,4,116211010060,,3,1403/11/28,لوله,6,13:00:00,09:46:00
849,36,1,7,104102015006,Orginal,7,1403/12/07,لوله,10,13:00:00,15:00:00
852,40,3,4,101112532008,,16,1403/12/09,لوله,3,04:00:00,09:46:00
853,36,1,8,0000000001,Orginal,2,1403/12/10,لوله,14,13:30:00,17:30:00
854,36,1,2,0000000014,Orginal,1,1403/12/10,لوله,4,07:30:00,09:30:00
856,36,1,7,114102515046,Orginal,7,1403/12/10,لوله,16,09:30:00,11:30:00
868,44,2,4,0000000026,Orginal,3,1403/12/12,لوله,20,12:00:00,19:00:00
869,34,1,6,116305045146,,3,1403/12/10,لوله,2,14:30:00,10:15:00
367,39,1,9,200706300220,فرمول به صورت تستی-HL60 به HL90 اضافه می شود.,230,1403/09/14,اتصالات,1,11:00:00,11:00:00
895,45,1,3,116211010060,,3,1403/12/11,لوله,6,10:00:00,11:31:00
894,45,1,2,117511012123,,3,1403/12/11,لوله,10,07:00:00,10:51:00
897,45,1,5,104120153001,,9,1403/12/11,لوله,3,12:00:00,11:31:00
901,40,3,4,0000000029,Orginal,3,1403/12/11,لوله,6,02:00:00,03:30:00
903,40,1,3,101106330004,,16,1403/12/21,لوله,1,09:00:00,09:34:00
909,40,1,2,101111032007,,1,1403/12/22,لوله,9,07:00:00,10:18:00
911,40,2,4,102111022005,,5,1403/12/22,لوله,4,15:00:00,10:21:00
1063,42,3,17,210702000173,Orginal,16,1403/12/06,اتصالات,3,22:00:00,22:45:00
1066,40,2,6,111100504061,,3,1403/12/20,لوله,1,16:00:00,12:00:00
1101,42,3,22,200111045215,Orginal,16,1403/12/09,اتصالات,13,17:00:00,20:25:00
1142,44,2,5,104120153001,,9,1403/12/05,لوله,2,21:00:00,09:12:00
1143,45,3,2,101111032007,,1,1403/12/06,لوله,4,00:00:00,09:12:00
1145,45,3,4,101109030006,,1,1403/12/06,لوله,7,02:00:00,09:16:00
1157,45,2,2,101111032007,Orginal,1,1403/12/09,لوله,7,16:00:00,18:20:00
637,44,3,3,103106325003,orginal,496,1403/11/29,لوله,5,02:00:00,02:00:00
