id,code,name,currency,color,usage,export,quality,size,weight,tickness,length,image
200,114102015127,لوله برقی 1/5 * 20 درجه 1 850 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
201,104102015004,لوله برقی 1/5 * 20 درجه 2    800 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
202,104102015007,لوله برقی 1/5 * 20 درجه 3     880 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
203,114102015071,لوله برقی 1/5 * 20 درجه 3   830 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
204,134102015038,لوله برقی 1/5 * 20 درجه 4   830 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
205,114102515046,لوله برقی 1/5 * 25 درجه 1  1000 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
206,114102515010,لوله برقی 1/5 * 25 درجه 2 1000 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
207,114102515040,لوله برقی 1/5 * 25 درجه 3    1000 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
208,114102515070,لوله برقی 1/5 * 25 درجه 3  1100 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
209,134102515035,لوله برقی 1/5 * 25 درجه 4   1000 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
210,114103215148,لوله برقی 1/5 * 32 درجه 1   1500 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
211,114103215045,لوله برقی 1/5 * 32 درجه 1 1300 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
212,114103215054,لوله برقی 1/5 * 32 درجه 2   1500 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
213,114103215083,لوله برقی 1/5 * 32 درجه 3  1300 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
214,114105015084,لوله برقی 1/5 * 50 درجه 1,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
215,114102017087,لوله برقی 1/7 * 20 درجه 3 880 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
216,134102018047,لوله برقی 1/8 * 20 درجه 3   900 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
217,134102018052,لوله برقی 1/8 * 20 درجه 4   900 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
218,134102518053,لوله برقی 1/8 * 25 درجه 4   1200 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
219,104103218005,لوله برقی 1/8 * 32 درجه 1   1500 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
220,104103218003,لوله برقی 1/8 * 32 درجه 2    1500 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
221,114103218072,لوله برقی 1/8 * 32 درجه 3 1500 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
222,134103218041,لوله برقی 1/8 * 32 درجه 4  1500 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
223,114104018107,لوله برقی 1/8 * 40 درجه 3   1900 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
224,114100202069,لوله برقی 2 * 20 درجه 3  1000 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
225,114100252102,لوله برقی 2 * 25 درجه 1    1200 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
226,114100252064,لوله برقی 2 * 25 درجه 3   1200 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
227,114100252063,لوله برقی 2 * 25 درجه 3  1350 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
228,114102002012,لوله برقی 2*20 درجه 1 1000گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
229,114102002011,لوله برقی 2*20 درجه 2 1000 گرم,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
230,104202015004,لوله برقی با قابلیت خم سرد 1/5 - 20 (B21),شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
231,104202515005,لوله برقی با قابلیت خم سرد 1/5 - 25 (B21),شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
232,104203215006,لوله برقی با قابلیت خم سرد 1/5 - 32 (B21),شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
233,104102015001,لوله برقی خم سرد 1/5 - 20 (A21) پلاس,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
234,104102515002,لوله برقی خم سرد 1/5 - 25 (A21) پلاس,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
235,104103215003,لوله برقی خم سرد 1/5 - 32 (A21) پلاس,شاخه,سفید,برقی,False,درجه 1,1.0,1,1.0,,
236,111100633051,لوله سه لایه 3 * 63 وزن 5.400,شاخه,سفید,فاضلابی,False,درجه 1,1.0,1,1.0,,
237,111100903050,لوله سه لایه 3 * 90 وزن 7.500,شاخه,سفید,فاضلابی,False,درجه 1,1.0,1,1.0,,
238,111111034049,لوله سه لایه 3/4 * 110 وزن 10/400,شاخه,سفید,فاضلابی,False,درجه 1,1.0,1,1.0,,
