material
درجه یک فاضلابی داخلی
درجه دو فاضلابی عراقی سفید
سه لایه درجه 1
لایه میانی 3 لایه درجه 1
سه لایه درجه 2
لایه میانی سه لایه درجه 2 
لوله برقی درجه 1
لوله برقی درجه 2
لوله برقی درجه 3
اتصالات طوسی داخلی
اتصالات سفید داخلی
اتصالات سفید عراقی
هواکشی
استخری
درجه یک فاضلابی عراقی
