id,code,name,currency,number_box,number_pallet,entity,color,usage,model,export,quality,size,weight,tickness,image
107,201509000026,رابط نر و ماده ( موفه ) 90  طوسی,عدد,90,25,موفه,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.144,0,
108,201511000027,رابط نر و ماده ( موفه ) 110 طوسی,عدد,63,25,موفه,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.198,0,
109,201511000082,موفه 110 پوش فیت طوسی,عدد,1,1,موفه,طوسی,فاضلابی,قدیمی,False,درجه 1,1,1.0,0,
110,201611045076,چهار راهی 45 * 110 درجه طوسی,عدد,10,15,چهار راهی,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.902,0,
111,201700090050,سیفون پایه دار 90 درجه NEW طوسی,عدد,40,15,,طوسی,فاضلابی,جدید,False,درجه 1,90,0.354,0,
112,201706335020,سیفون  پایه دار 63 طوسی,عدد,65,25,سیفون  پایه دار,طوسی,فاضلابی,قدیمی,False,درجه 1,63,0.184,0,
113,201706335218,سیفون  پایه دار 63 NEW طوسی,عدد,75,25,,طوسی,فاضلابی,جدید,False,درجه 1,63,0.165,0,
114,201707535021,سیفون  پایه دار 75 طوسی,عدد,45,25,سیفون  پایه دار,طوسی,فاضلابی,قدیمی,False,درجه 1,75,0.22,0,
115,201709035022,سیفون  پایه دار 90 طوسی,عدد,40,15,سیفون  پایه دار,طوسی,فاضلابی,قدیمی,False,درجه 1,90,0.42,0,
116,201711035023,سیفون پایه دار 110 * 110 طوسی,عدد,25,15,سیفون  پایه دار,طوسی,فاضلابی,قدیمی,False,درجه 1,110,0.59,0,
117,201712535024,سیفون پایه دار 110 * 125 طوسی,عدد,23,15,سیفون  پایه دار,طوسی,فاضلابی,قدیمی,False,درجه 1,125,0.64,0,
118,201712535219,سیفون پایه دار 110 * 125 NEW طوسی,عدد,27,15,,طوسی,فاضلابی,جدید,False,درجه 1,125,0.576,0,
119,210104045014,زانو 45 * 40 درجه NEW سفید,عدد,400,25,,سفید,فاضلابی,جدید,False,درجه 1,40,0.041,0,
120,210104090026,زانو 90 * 40 درجه سفید,عدد,400,25,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,40,0.053,0,
121,210105045018,زانو 90 * 50 درجه سفید,عدد,200,25,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,50,0.067,0,
122,210105045028,زانو 45* 50 درجه سفید,عدد,250,25,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,50,0.56,0,
123,210105045057,Knee 50 * 45,number,1,1,زانو,طوسی,فاضلابی,قدیمی,True,درجه 1,50,0.056,0,
124,210105090058,Knee 50 * 90,number,1,1,زانو,طوسی,فاضلابی,قدیمی,True,درجه 1,50,0.068,0,
125,210106345100,زانو 45 * 63 درجه سفید,عدد,1,1,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,63,1.0,0,
126,210106345200,زانو 45 * 63 درجه NEW سفید,عدد,175,25,,سفید,فاضلابی,جدید,False,درجه 1,63,0.1,0,
127,210106390106,زانو 90 * 63 درجه سفید,عدد,110,25,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,63,0.144,0,
128,210106390204,زانو 90 * 63 درجه NEW سفید,عدد,110,25,,سفید,فاضلابی,جدید,False,درجه 1,63,0.125,0,
129,210107545002,Knee 75 * 45,number,80,0,زانو,طوسی,فاضلابی,قدیمی,True,درجه 1,75,0.165,0,
130,210107545101,زانو 45 * 75 درجه سفید,عدد,1,1,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,75,1.0,0,
131,210107590001,Knee 75* 90,number,60,0,زانو,طوسی,فاضلابی,قدیمی,True,درجه 1,75,0.206,0,
132,210107590107,زانو 90 * 75 درجه سفید,عدد,70,25,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,75,0.184,0,
133,210107590172,زانو 90*75 دوسر کوبل سفید,عدد,70,25,,سفید,فاضلابی,دو سرکوپل,False,درجه 1,75,0.19,0,
134,210109045102,زانو 45 * 90 درجه سفید,عدد,1,1,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,90,1.0,0,
135,210109045201,زانو 45 * 90 درجه NEW سفید,عدد,60,25,,سفید,فاضلابی,جدید,False,درجه 1,90,0.173,0,
136,210109090108,زانو  90 * 90 درجه سفید,عدد,1,1,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,90,1.0,0,
137,210109090228,زانو 90*90 NEW سفید,عدد,40,25,,سفید,فاضلابی,جدید,False,درجه 1,90,0.224,0,
138,210111045008,Knee 110 * 45,number,1,0,زانو,سفید,فاضلابی,قدیمی,True,درجه 1,110,0.304,0,
139,210111045103,زانو 45 * 110 درجه سفید,عدد,1,1,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,110,1.0,0,
140,210111045203,زانو 45 * 110 درجه NEW سفید,عدد,60,15,,سفید,فاضلابی,جدید,False,درجه 1,110,0.26,0,
141,210111090011,Knee 110 * 90,number,1,0,زانو,سفید,فاضلابی,قدیمی,True,درجه 1,110,0.424,0,
142,210111090109,زانو 90 * 110 درجه سفید,عدد,1,1,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,110,1.0,0,
143,210111090205,زانو 90 * 110 درجه NEW سفید,عدد,40,15,,سفید,فاضلابی,جدید,False,درجه 1,110,0.347,0,
144,210112545104,زانو 45 * 125 درجه سفید,عدد,44,15,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.391,0,
145,210112590110,زانو 90 * 125 درجه سفید,عدد,32,15,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.479,0,
146,210116045105,زانو  45 * 160 درجه سفید,عدد,18,15,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,160,0.713,0,
147,210116090111,زانو 90 * 160 درجه سفید,عدد,16,15,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,160,0.62,0,
148,210200075003,Siphon 75,number,36,25,سیفون,طوسی,فاضلابی,قدیمی,True,درجه 1,75,0.43,0,
149,210200110009,SiPhon 110,number,1,15,سیفون,طوسی,فاضلابی,قدیمی,True,درجه 1,110,0.864,0,
150,210300025021,SOCKET 25,number,1200,25,سوکت برقی,طوسی,برقی,قدیمی,True,درجه 1,25,0.011,0,
151,210300050056,SOCKET 50,number,1,25,سوکت برقی,طوسی,برقی,قدیمی,True,درجه 1,50,1.0,0,
152,210300110007,Socket 110,number,75,15,سوکت برقی,طوسی,برقی,قدیمی,True,درجه 1,110,0.218,0,
153,210304090030,سه راهی 90 * 40 درجه سفید,عدد,220,15,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,40,0.068,0,
154,210305045053,سه راهی 45 * 50 درجه سفید,عدد,110,25,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,50,0.15,0,
155,210305090048,سه راهی دو سر کوپل 90 * 50 درجه سفید,عدد,150,25,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,50,0.93,0,
156,210306345147,سه راهی 45 * 63 درجه سفید,عدد,50,25,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,63,0.245,0,
157,210306345210,سه راهی 45 * 63 درجه NEW سفید,عدد,60,25,,سفید,فاضلابی,جدید,False,درجه 1,63,0.2,0,
158,210306390036,سه راهی 90 * 63 درجه NEW سفید,عدد,65,25,,سفید,فاضلابی,جدید,False,درجه 1,63,0.165,0,
159,210306390158,سه راهی 90 * 63 درجه سفید,عدد,65,25,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,63,0.201,0,
160,210307545148,سه راهی  45 * 75 درجه سفید,عدد,1,1,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,75,1.0,0,
161,210307590159,سه راهی 90 * 75 درجه سفید,عدد,1,1,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,75,1.0,0,
